-----------------------------
汉字      全拼      笔画数   
帞        mo        9        
帟        yi        9        
帠        yi        9        
帡        ping      9        
帢        qia       9        
帣        juan      9        
帤        ru        9        
帥        shuai     9        
带        dai       9        
帧        zhen      9        
帨        shui      10       
帩        qiao      10       
帪        zhen      10       
師        shi       10       
帬        qun       10       
席        xi        10       
帮        bang      9        
帯        dai       10       
帰        gui       10       
帱        chou      10       
帲        ping      11       
帳        zhang     11       
帴        san       11       
帵        wan       11       
帶        dai       11       
帷        wei       11       
常        chang     11       
帹        sha       11       
帺        qi        11       
帻        ze        11       
帼        guo       11       
帽        mao       12       
帾        du        11       
帿        hou       12       
幀        zheng     12       
幁        xu        12       
幂        mi        12       
幃        wei       12       
幄        wo        12       
幅        fu        12       
幆        yi        12       
幇        bang      12       
幈        ping      12       
幉        die       12       
幊        gong      13       
幋        pan       13       
幌        huang     13       
幍        tao       13       
幎        mi        13       
幏        jia       13       
幐        teng      13       
幑        hui       14       
幒        zhong     14       
幓        shen      14       
幔        man       14       
幕        mu        13       
幖        biao      14       
幗        guo       14       
幘        ze        14       
幙        mu        13       
幚        bang      14       
幛        zhang     14       
幜        jing      15       
幝        chan      15       
幞        fu        15       
幟        zhi       15       
幠        wu        15       
幡        fan       15       
幢        zhuang    15       
幣        bi        14       
幤        bi        15       
幥        zhang     15       
幦        mi        16       
幧        qiao      16       
幨        chan      16       
幩        fen       15       
幪        meng      16       
幫        bang      17       
幬        dao       17       
幭        mie       17       
幮        chu       18       
幯        jie       16       
幰        xian      19       
幱        lan       19       
干        gan       3        
平        ping      5        
年        nian      6        
幵        jian      6        
并        bing      6        
幷        bing      8        
幸        xing      8        
幹        gan       13       
幺        yao       3        
幻        huan      4        
幼        you       5        
幽        you       9        
幾        ji        12       
广        guang     3        
庀        pi        5        
庁        ting      5        
庂        ze        5        
広        guang     5        
庄        zhuang    6        
庅        me        6        
庆        qing      6        
庇        bi        7        
庈        qin       7        
庉        tun       7        
床        chuang    7        
庋        gui       7        
庌        ya        7        
庍        xin       7        
庎        jie       7        
序        xu        7        
庐        lu        7        
庑        wu        7        
庒        zhuang    7        
库        ku        7        
应        ying      7        
底        di        8        
庖        pao       8        
店        dian      8        
庘        ya        8        
庙        miao      8        
庚        geng      8        
庛        ci        9        
府        fu        8        
庝        tong      8        
庞        pang      8        
废        fei       8        
庠        xiang     9        
庡        yi        9        
庢        zhi       9        
庣        tiao      9        
庤        zhi       9        
庥        xiu       9        
度        du        9        
座        zuo       10       
庨        xiao      10       
庩        tu        10       
庪        gui       10       
庫        ku        10       
庬        meng      10       
庭        ting      9        
庮        you       10       
庯        bu        10       
庰        bing      9        
庱        cheng     11       
庲        lai       11       
庳        bi        11       
庴        ji        11       
庵        an        11       
庶        shu       11       
康        kang      11       
庸        yong      11       
庹        tuo       11       
庺        song      11       
庻        shu       11       
庼        qing      11       
庽        yu        12       
庾        yu        11       
庿        miao      11       
廀        sou       12       
廁        ze        12       
廂        xiang     12       
廃        fei       12       
廄        jiu       12       
廅        e         13       
廆        wei       12       
廇        liu       13       
廈        xia       13       
廉        lian      13       
廊        lang      11       
廋        sou       12       
廌        zhi       13       
廍        bu        13       
廎        qing      14       
廏        jiu       14       
廐        jiu       12       
廑        jin       14       
廒        ao        13       
廓        kuo       13       
廔        lou       14       
廕        yin       13       
廖        liao      14       
廗        xi        14       
廘        lu        14       
廙        yi        14       
廚        chu       15       
廛        chan      15       
廜        tu        14       
廝        si        15       
廞        xin       15       
廟        miao      15       
廠        chang     15       
廡        wu        15       
廢        fei       15       
廣        kuang     14       
廤        kos       15       
廥        kuai      16       
廦        bi        16       
廧        se        16       
廨        xie       16       
廩        lin       16       
廪        lin       16       
廫        liao      18       
廬        lv        19       
廭        ji        19       
廮        ying      20       
廯        xian      20       
廰        ting      20       
廱        yong      21       
廲        li        22       
廳        ting      25       
廴        jian      2        
廵        yan       5        
延        yan       6        
廷        ting      6        
廸        di        7        
廹        po        7        
建        jian      8        
廻        hui       8        
廼        nai       8        
廽        hui       9        
廾        nong      3        
廿        nian      4        
开        kai       4        
弁        bian      5        
异        yi        6        
弃        qi        7        
弄        nong      7        
弅        fen       7        
弆        qu        8        
弇        yan       9        
弈        yi        9        
弉        zang      10       
弊        bi        14       
弋        yi        3        
弌        yi        4        
弍        er        5        
弎        san       6        
式        shi       6        
弐        er        6        
弑        shi       12       
弒        shi       13       
弓        gong      3        
弔        diao      4        
引        yin       4        
弖        hu        4        
弗        fu        5        
弘        hong      5        
弙        wu        6        
弚        tui       6        
弛        chi       6        
弜        jiang     6        
弝        ba        7        
弞        shen      7        
弟        di        7        
张        zhang     7        
弡        zhang     7        
弢        tao       8        
弣        fu        8        
弤        di        8        
弥        mi        8        
弦        xian      8        
弧        hu        8        
弨        chao      8        
弩        nu        8        
弪        jing      8        
弫        zhen      9        
弬        yi        10       
弭        mi        9        
弮        quan      9        
弯        wan       9        
弰        shao      10       
弱        ruo       10       
弲        yuan      10       
弳        jing      10       
弴        diao      11       
張        zhang     11       
弶        jiang     11       
強        qiang     11       
弸        peng      11       
弹        dan       11       
强        qiang     12       
弻        bi        12       
弼        bi        12       
弽        she       12       
弾        tan       12       
弿        jian      13       
彀        gou       13       
彁        ge        13       
彂        fa        13       
彃        bi        13       
彄        kou       14       
彅        jian      14       
彆        bie       14       
彇        xiao      16       
彈        tan       15       
彉        guo       14       
彊        qiang     16       
彋        hong      16       
彌        ni        17       
彍        guo       17       
彎        wan       22       
彏        jue       23       
彐        xun       3        
彑        ji        3        
归        gui       5        
当        dang      6        
彔        lu        8        
录        lu        8        
彖        tuan      9        
彗        hui       11       
彘        zhi       12       
彙        hui       13       
彚        hui       13       
彛        yi        16       
彜        yi        16       
彝        yi        18       
彞        yi        18       
彟        yue       19       
彠        yue       25       
彡        san       3        
形        xing      7        
彣        wen       7        
彤        tong      7        
彥        yan       9        
彦        yan       9        
彧        yu        10       
彨        chi       10       
彩        cai       11       
彪        biao      11       
彫        diao      11       
彬        bin       11       
彭        peng      12       
彮        yong      13       
彯        piao      14       
彰        zhang     14       
影        ying      15       
彲        chi       22       
彳        chi       3        
彴        zhuo      6        
彵        yi        6        
彶        ji        6        
彷        pang      7        
彸        zhong     7        
役        yi        7        
彺        wang      7        
彻        che       7        
彼        bi        8        
彽        di        8        
彾        ling      8        
彿        fu        8        
往        wang      8        
征        zheng     8        
徂        cu        8        
徃        wang      8        
径        jing      8        
待        dai       9        
徆        xi        9        
徇        xun       9        
很        hen       9        
徉        yang      9        
徊        huai      9        
律        lv        9        
後        hou       9        
徍        wang      9        
徎        zheng     10       
徏        zhi       10       
徐        xu        10       
徑        jing      10       
徒        tu        10       
従        cong      10       
徔        zhi       9        
徕        lai       10       
徖        cong      11       
得        de        11       
徘        pai       11       
徙        xi        11       
徚        uu        12       
徛        ji        11       
徜        chang     11       
徝        zhi       11       
從        zong      11       
徟        zhou      11       
徠        lai       11       
御        yu        12       
徢        xie       11       
徣        jie       11       
徤        jian      11       
徥        ti        12       
徦        xia       12       
徧        pian      12       
徨        huang     12       
復        fu        12       
循        xun       12       
徫        wei       12       
徬        pang      13       
徭        yao       13       
微        wei       13       
徯        xi        13       
徰        zheng     13       
徱        piao      14       
徲        ti        15       
徳        de        14       
徴        zhi       14       
徵        zhi       15       
徶        bie       14       
德        de        15       
徸        zhong     15       
徹        che       15       
徺        yao       15       
徻        hui       16       
徼        jiao      16       
徽        hui       17       
徾        mei       17       
徿        long      20       
忀        xiang     20       
忁        bao       20       
忂        qu        21       
心        xin       4        
忄        shu       3        
必        bi        5        
忆        yi        4        
忇        le        5        
忈        ren       6        
忉        dao       5        
忊        ting      5        
忋        gai       6        
忌        ji        7        
忍        ren       7        
忎        ren       7        
忏        chan      6        
忐        tan       7        
忑        te        7        
忒        tui       7        
忓        han       6        
忔        yi        6        
忕        tai       6        
忖        cun       6        
志        zhi       7        
忘        wang      7        
忙        mang      6        
忚        xi        6        
忛        fan       6        
応        ying      7        
忝        tian      8        
忞        wen       8        
忟        wen       7        
忠        zhong     8        
忡        chong     7        
忢        wu        8        
忣        ji        6        
忤        wu        7        
忥        xi        8        
忦        jie       7        
忧        you       7        
忨        wan       7        
忩        cong      8        
忪        song      7        
快        kuai      7        
忬        yu        7        
忭        bian      7        
忮        zhi       7        
忯        shi       7        
忰        cui       7        
忱        chen      7        
忲        tai       7        
忳        zhun      7        
忴        qin       7        
念        nian      8        
忶        hun       7        
忷        xiong     7        
忸        niu       7        
忹        wang      7        
忺        xian      7        
忻        xin       7        
忼        kang      7        
忽        hu        8        
忾        kai       7        
忿        fen       8        
怀        huai      7        
态        tai       8        
怂        song      8        
怃        wu        7        
怄        ou        7        
怅        chang     7        
怆        chuang    7        
怇        ju        7        
怈        yi        8        
怉        bao       8        
怊        chao      8        
怋        min       8        
怌        pei       8        
怍        zuo       8        
怎        zen       9        
怏        yang      8        
怐        kou       8        
怑        ban       8        
怒        nu        9        
怓        niu       8        
怔        zheng     8        
怕        pa        8        
怖        bu        8        
怗        zhan      8        
怘        hu        9        
怙        hu        8        
怚        zu        8        
怛        da        8        
怜        lian      8        
思        si        9        
怞        you       8        
怟        di        8        
怠        dai       9        
怡        yi        8        
怢        tui       8        
怣        you       9        
怤        fu        9        
急        ji        9        
怦        peng      8        
性        xing      8        
怨        yuan      9        
怩        ni        8        
怪        guai      8        
怫        fu        8        
怬        xi        8        
怭        bi        8        
怮        you       8        
怯        qie       8        
怰        xuan      8        
怱        cong      9        
怲        bing      8        
怳        huang     8        
怴        xue       8        
怵        chu       8        
怶        pi        8        
怷        shu       9        
怸        xi        9        
怹        tan       9        
怺        yong      8        
总        zong      9        
怼        dui       9        
怽        mo        8        
怾        ki        8        
怿        yi        8        
恀        shi       9        
恁        nin       10       
恂        xun       9        
恃        shi       9        
恄        xi        9        
恅        lao       9        
恆        heng      9        
恇        kuang     9        
恈        mou       9        
恉        zhi       9        
恊        xie       9        
恋        lian      10       
恌        yao       9        
恍        huang     9        
恎        die       9        
恏        hao       10       
恐        kong      10       
恑        wei       9        
恒        heng      9        
恓        xu        9        
恔        xiao      9        
恕        shu       10       
恖        si        10       
恗        kua       9        
恘        qiu       9        
恙        yang      10       
恚        hui       10       
恛        hui       9        
恜        chi       9        
恝        jia       10       
恞        yi        9        
恟        xiong     9        
恠        guai      9        
恡        lin       9        
恢        hui       9        
恣        zi        10       
恤        xu        9        
恥        chi       10       
恦        shang     9        
恧        nv        10       
恨        hen       9        
恩        en        10       
恪        ke        9        
恫        dong      9        
恬        tian      9        
恭        gong      10       
恮        zhuan     9        
息        xi        10       
恰        qia       9        
恱        yue       9        
恲        peng      9        
恳        ken       10       
恴        de        10       
恵        hui       10       
恶        e         10       
恷        xiao      10       
恸        tong      9        
恹        yan       9        
恺        kai       9        
恻        ce        9        
恼        nao       9        
恽        yun       9        
恾        mang      9        
恿        yong      11       
悀        yong      10       
悁        yuan      10       
悂        pi        10       
悃        kun       10       
悄        qiao      10       
悅        yue       10       
悆        yu        11       
悇        yu        10       
悈        ke        10       
悉        xi        11       
悊        zhe       11       
悋        lin       10       
悌        ti        10       
悍        han       10       
悎        jiao      10       
悏        qie       10       
悐        ti        11       
悑        bu        10       
悒        yi        10       
悓        qian      10       
悔        hui       10       
悕        xi        10       
悖        bei       10       
悗        men       10       
悘        yi        11       
悙        heng      10       
悚        song      10       
悛        quan      10       
悜        cheng     10       
悝        kui       10       
悞        wu        10       
悟        wu        10       
悠        you       11       
悡        li        11       
悢        liang     10       
患        huan      11       
悤        cong      11       
悥        yi        11       
悦        yue       10       
悧        li        10       
您        nin       11       
悩        nao       10       
悪        e         11       
悫        que       11       
悬        xuan      11       
悭        qian      10       
悮        wu        10       
悯        min       10       
悰        cong      11       
悱        fei       11       
悲        bei       12       
悳        de        12       
悴        cui       11       
悵        chang     11       
悶        men       12       
悷        li        11       
悸        ji        11       
悹        guan      12       
悺        guan      11       
悻        xing      11       
悼        dao       11       
悽        qi        11       
悾        kong      11       
悿        tian      11       
惀        lun       11       
惁        xi        12       
惂        kan       11       
惃        gun       11       
惄        ni        12       
情        qing      11       
惆        chou      11       
惇        dun       11       
惈        guo       11       
惉        zhan      12       
惊        jing      11       
惋        wan       11       
惌        yuan      12       
惍        jin       11       
惎        ji        12       
惏        lin       11       
惐        yu        11       
惑        huo       12       
惒        he        12       
惓        quan      11       
惔        tan       11       
惕        ti        11       
惖        ti        12       
惗        nie       11       
惘        wang      11       
惙        chuo      11       
惚        hu        11       
惛        men       11       
惜        xi        11       
惝        chang     11       
惞        xin       11       
惟        wei       11       
惠        hui       12       
惡        wu        12       
惢        suo       12       
惣        zong      12       
惤        jian      11       
惥        yong      12       
惦        dian      11       
惧        ju        11       
惨        can       11       
惩        cheng     12       
惪        de        12       
惫        bei       12       
惬        qie       11       
惭        can       11       
惮        dan       11       
惯        guan      11       
惰        duo       12       
惱        nao       12       
惲        yun       12       
想        xiang     13       
惴        zhui      12       
惵        tie       12       
惶        huang     12       
惷        chun      13       
惸        qiong     11       
惹        re        12       
惺        xing      12       
惻        ce        12       
惼        bian      12       
惽        hun       12       
惾        zong      12       
惿        ti        12       
愀        qiao      12       
愁        chou      13       
愂        bei       13       
愃        xuan      12       
愄        wei       12       
愅        ge        12       
愆        qian      13       
愇        wei       12       
愈        yu        13       
愉        yu        12       
愊        bi        12       
愋        xuan      12       
愌        huan      12       
愍        min       13       
愎        bi        12       
意        yi        13       
愐        mian      12       
愑        yong      12       
愒        qi        12       
愓        tang      12       
愔        yin       12       
愕        e         12       
愖        xin       12       
愗        mao       13       
愘        qia       12       
愙        ke        13       
愚        yu        13       
愛        ai        13       
愜        qie       12       
愝        yan       12       
愞        ruan      12       
感        gan       13       
愠        yun       12       
愡        zong      12       
愢        si        12       
愣        leng      12       
愤        fen       12       
愥        ying      11       
愦        kui       12       
愧        kui       12       
愨        que       14       
愩        hong      13       
愪        yun       13       
愫        su        13       
愬        su        14       
愭        qi        13       
愮        yao       13       
愯        song      13       
愰        huang     13       
愱        ji        13       
愲        gu        12       
愳        ju        14       
愴        chuang    13       
愵        ni        13       
愶        xie       13       
愷        kai       13       
愸        zheng     14       
愹        yong      13       
愺        cao       12       
愻        xun       14       
愼        shen      13       
愽        bo        13       
愾        xi        13       
愿        yuan      14       
慀        xie       13       
慁        hun       14       
慂        yong      14       
慃        yang      13       
慄        li        13       
慅        sao       12       
慆        tao       13       
慇        yin       14       
慈        ci        13       
慉        xu        13       
慊        qian      13       
態        tai       14       
慌        huang     12       
慍        yun       13       
慎        shen      13       
慏        ming      13       
慐        gong      14       
慑        she       13       
慒        cong      14       
慓        piao      14       
慔        mu        13       
慕        mu        14       
慖        guo       14       
慗        chi       15       
慘        can       14       
慙        can       15       
慚        can       14       
慛        cui       14       
慜        min       15       
慝        te        14       
慞        zhang     14       
慟        tong      14       
慠        ao        13       
慡        shuang    14       
慢        man       14       
慣        guan      14       
慤        que       15       
慥        zao       13       
慦        jiu       15       
慧        hui       15       
慨        kai       12       
慩        lian      13       
慪        ou        14       
慫        song      15       
慬        qin       14       
慭        yin       15       
慮        lv        15       
慯        shang     14       
慰        wei       15       
慱        tuan      14       
慲        man       14       
慳        xian      14       
慴        she       14       
慵        yong      14       
慶        qing      15       
慷        kang      14       
慸        di        15       
慹        zhi       15       
慺        lv        14       
慻        juan      14       
慼        qi        15       
慽        qi        14       
慾        yu        15       
慿        ping      15       
憀        liao      14       
憁        song      14       
憂        you       15       
憃        chong     15       
憄        zhi       15       
憅        tong      15       
憆        cheng     14       
憇        qi        15       
憈        qu        14       
憉        peng      15       
憊        bei       16       
憋        bie       15       
憌        qiong     16       
憍        jiao      15       
憎        zeng      15       
憏        chi       14       
憐        lian      15       
憑        ping      16       
憒        kui       15       
憓        hui       15       
憔        qiao      15       
憕        zheng     15       
憖        yin       16       
憗        yin       16       
憘        xi        15       
憙        xi        16       
憚        dan       15       
憛        tan       15       
憜        duo       14       
憝        dui       16       
憞        tun       15       
憟        su        15       
憠        jue       16       
憡        ce        15       
憢        xiao      15       
憣        fan       15       
憤        fen       15       
憥        lao       16       
憦        lao       15       
憧        chong     15       
憨        han       15       
憩        qi        16       
憪        xian      15       
憫        min       15       
憬        jing      15       
憭        liao      15       
憮        wu        15       
憯        can       15       
憰        jue       15       
憱        cu        15       
憲        xian      16       
憳        tan       15       
憴        sheng     15       
憵        pi        17       
憶        yi        16       
憷        chu       16       
憸        xian      16       
憹        nong      16       
憺        dan       16       
憻        tan       16       
憼        jing      16       
憽        song      15       
憾        han       16       
憿        jiao      16       
懀        wei       16       
懁        xuan      16       
懂        dong      15       
懃        qin       17       
懄        qin       16       
懅        ju        16       
懆        sao       16       
懇        ken       17       
懈        xie       16       
應        ying      17       
懊        ao        15       
懋        mao       17       
懌        yi        16       
懍        lin       16       
懎        se        16       
懏        jun       15       
懐        huai      16       
懑        men       17       
懒        lan       16       
懓        ai        16       
懔        lin       16       
懕        ye        18       
懖        kuo       18       
懗        xia       17       
懘        chi       18       
懙        yu        16       
懚        yin       17       
懛        dai       17       
懜        meng      16       
懝        ni        17       
懞        meng      16       
懟        dui       18       
懠        qi        17       
懡        mo        17       
懢        xian      17       
懣        men       18       
懤        chou      17       
懥        zhi       17       
懦        nuo       17       
懧        nuo       17       
懨        chu       17       
懩        yang      17       
懪        bo        18       
懫        zhi       18       
懬        kuang     18       
懭        kuang     17       
懮        you       18       
懯        fu        19       
懰        liu       18       
懱        mie       17       
懲        cheng     19       
懳        hui       18       
懴        chan      18       
懵        meng      18       
懶        lan       19       
懷        huai      19       
懸        xuan      20       
懹        rang      20       
懺        chan      20       
懻        ji        19       
懼        ju        21       
懽        huan      20       
懾        she       21       
懿        yi        22       
戀        lian      23       
戁        nan       23       
戂        mo        22       
戃        tang      23       
戄        jue       23       
戅        zhuang    25       
戆        gang      25       
戇        zhuang    28       
戈        ge        4        
戉        yue       5        
戊        wu        5        
戋        jian      5        
戌        xu        6        
戍        shu       6        
戎        rong      6        
戏        xi        6        
成        cheng     6        
我        wo        7        
戒        jie       7        
戓        ge        7        
戔        jian      8        
戕        qiang     8        
或        huo       8        
戗        qiang     8        
战        zhan      9        
戙        dong      10       
戚        qi        11       
戛        jia       11       
戜        die       11       
戝        cai       11       
戞        jia       12       
戟        ji        12       
戠        zhi       12       
戡        kan       13       
戢        ji        12       
戣        kui       13       
戤        gai       13       
戥        deng      13       
戦        zhan      13       
戧        qiang     14       
戨        ge        14       
戩        jian      14       
截        jie       14       
戫        yu        14       
戬        jian      14       
戭        you       15       
戮        lu        15       
戯        xi        15       
戰        zhan      16       
戱        xi        16       
戲        xi        17       
戳        chuo      18       
戴        dai       17       
戵        qu        22       
戶        hu        4        
户        hu        4        
戸        hu        4        
戹        e         5        
戺        yi        7        
戻        ti        7        
戼        mao       8        
戽        hu        8        
戾        li        8        
房        fang      8        
所        suo       8        
扁        bian      9        
扂        dian      9        
扃        jiong     9        
扄        shang     10       
扅        yi        10       
扆        yi        10       
扇        shan      10       
扈        hu        11       
扉        fei       12       
扊        yan       12       
手        shou      4        
扌        ti        3        
才        cai       3        
扎        zha       4        
扏        qiu       5        
扐        li        5        
扑        pu        5        
扒        ba        5        
打        da        5        
扔        reng      5        
払        fan       5        
扖        ru        5        
扗        zai       6        
托        tuo       6        
扙        zhang     6        
扚        yue       6        
扛        kang      6        
扜        yu        6        
扝        wu        6        
扞        han       6        
扟        shen      6        
扠        zha       6        
扡        yi        6        
扢        qi        6        
扣        kou       6        
扤        wu        6        
扥        den       6        
扦        qian      6        
执        zhi       6        
扨        ren       6        
扩        kuo       6        
扪        men       6        
扫        sao       6        
扬        yang      6        
扭        niu       7        
扮        ban       7        
扯        che       7        
扰        rao       7        
扱        xi        6        
扲        qin       7        
扳        ban       7        
扴        jia       7        
扵        yu        7        
扶        fu        7        
扷        ao        7        
扸        zhe       7        
批        pi        7        
扺        zhi       7        
扻        zhi       7        
扼        e         7        
扽        den       7        
找        zhao      7        
承        cheng     8        
技        ji        7        
抁        yan       7        
抂        wang      7        
抃        bian      7        
抄        chao      7        
抅        ju        7        
抆        wen       7        
抇        hu        7        
抈        yue       7        
抉        jue       7        
把        ba        7        
抋        qin       7        
抌        shen      7        
抍        zheng     7        
抎        yun       7        
抏        wan       7        
抐        rui       7        
抑        yi        7        
抒        shu       7        
抓        zhua      7        
抔        pou       7        
投        tou       7        
抖        dou       7        
抗        kang      7        
折        zhe       7        
抙        pou       7        
抚        fu        7        
抛        pao       7        
抜        ba        7        
抝        niu       7        
択        ze        7        
抟        tuan      7        
抠        kou       7        
抡        lun       7        
抢        qiang     7        
抣        yun       7        
护        hu        7        
报        bao       7        
抦        bing      8        
抧        zhi       8        
抨        peng      8        
抩        nan       8        
抪        pu        8        
披        pi        8        
抬        tai       8        
抭        yao       8        
抮        zhen      8        
抯        zha       8        
抰        yang      8        
抱        bao       8        
抲        qia       8        
抳        ni        8        
抴        ye        8        
抵        di        8        
抶        chi       8        
抷        pi        8        
抸        jia       7        
抹        mo        8        
抺        mei       8        
抻        chen      8        
押        ya        8        
抽        chou      8        
抾        qu        8        
抿        min       8        
拀        chu       8        
拁        ya        8        
拂        fu        8        
拃        zhan      8        
拄        zhu       8        
担        dan       8        
拆        chai      8        
拇        mu        8        
拈        nian      8        
拉        la        8        
拊        fu        8        
拋        pao       8        
拌        ban       8        
拍        pai       8        
拎        lin       8        
拏        na        9        
拐        guai      8        
拑        qian      8        
拒        ju        7        
拓        tuo       8        
拔        ba        8        
拕        tuo       8        
拖        tuo       8        
拗        niu       8        
拘        ju        8        
拙        zhuo      8        
拚        pin       8        
招        zhao      8        
拜        bai       9        
拝        bai       8        
拞        zhi       8        
拟        ni        7        
拠        ju        8        
拡        kuo       8        
拢        long      8        
拣        jian      8        
拤        qia       8        
拥        yong      8        
拦        lan       8        
拧        ning      8        
拨        bo        8        
择        ze        8        
拪        qian      9        
拫        hen       9        
括        kuo       9        
拭        shi       9        
拮        jie       9        
拯        zheng     9        
拰        nin       9        
拱        gong      9        
拲        gong      10       
拳        quan      10       
拴        shuan     9        
拵        zun       9        
拶        za        9        
拷        kao       9        
拸        yi        9        
拹        xie       9        
拺        se        9        
拻        hui       9        
拼        pin       9        
拽        zhuai     9        
拾        shi       9        
拿        na        10       
挀        bai       9        
持        chi       9        
挂        gua       9        
挃        zhi       9        
挄        kuo       9        
挅        duo       9        
挆        duo       9        
指        zhi       9        
挈        qie       10       
按        an        9        
挊        nong      9        
挋        zhen      9        
挌        he        9        
挍        jiao      9        
挎        kua       9        
挏        dong      9        
挐        ru        10       
挑        tiao      9        
挒        lie       9        
挓        zha       9        
挔        lu        9        
挕        she       9        
挖        wa        9        
挗        jue       9        
挘        lie       9        
挙        ju        10       
挚        zhi       10       
挛        luan      10       
挜        ya        9        
挝        wo        9        
挞        ta        9        
挟        jia       9        
挠        nao       9        
挡        dang      9        
挢        jiao      9        
挣        zheng     9        
挤        ji        9        
挥        hui       9        
挦        xian      9        
挧        yu        9        
挨        ai        10       
挩        yan       10       
挪        nuo       9        
挫        cuo       10       
挬        bo        10       
挭        geng      10       
挮        ti        10       
振        zhen      10       
挰        cheng     10       
挱        suo       10       
挲        suo       11       
挳        qian      10       
挴        mei       10       
挵        nong      10       
挶        ju        10       
挷        peng      9        
挸        jian      10       
挹        yi        10       
挺        ting      9        
挻        yan       9        
挼        sui       10       
挽        wan       10       
挾        xie       10       
挿        zha       10       
捀        feng      10       
捁        ku        10       
捂        wu        10       
捃        jun       10       
捄        qiu       10       
捅        tong      10       
捆        kun       10       
捇        huo       10       
捈        tu        10       
捉        zhuo      10       
捊        pou       10       
捋        lv        10       
捌        ba        10       
捍        han       10       
捎        shao      10       
捏        nie       10       
捐        juan      10       
捑        ze        10       
捒        sou       10       
捓        yu        9        
捔        zhuo      10       
捕        bu        10       
捖        wan       10       
捗        zhi       10       
捘        zun       10       
捙        zhuai     10       
捚        zhai      10       
捛        lu        9        
捜        sou       10       
捝        yan       10       
捞        lao       10       
损        sun       10       
捠        bang      10       
捡        jian      10       
换        huan      10       
捣        dao       10       
捤        wei       10       
捥        wan       11       
捦        qin       11       
捧        peng      11       
捨        she       11       
捩        lie       11       
捪        min       11       
捫        men       11       
捬        fu        11       
捭        bai       11       
据        ju        11       
捯        dao       11       
捰        wo        11       
捱        ai        11       
捲        quan      11       
捳        yue       11       
捴        zong      11       
捵        tian      11       
捶        chui      11       
捷        jie       11       
捸        tu        11       
捹        ben       11       
捺        na        11       
捻        nian      11       
捼        wo        11       
捽        zuo       11       
捾        xia       11       
捿        qi        11       
掀        xian      11       
掁        cheng     11       
掂        dian      11       
掃        sao       11       
掄        lun       11       
掅        qing      11       
掆        gang      11       
掇        duo       11       
授        shou      11       
掉        diao      11       
掊        pou       11       
掋        di        11       
掌        zhang     12       
掍        hun       11       
掎        ji        11       
掏        tao       11       
掐        qia       11       
掑        qi        11       
排        pai       11       
掓        shu       11       
掔        wan       12       
掕        ling      11       
掖        ye        11       
掗        ya        11       
掘        jue       11       
掙        zheng     11       
掚        liang     11       
掛        gua       11       
掜        yi        11       
掝        xu        11       
掞        yan       11       
掟        zheng     11       
掠        lue       11       
採        cai       11       
探        tan       11       
掣        che       12       
掤        bing      11       
接        jie       11       
掦        ti        11       
控        kong      11       
推        tui       11       
掩        yan       11       
措        cuo       11       
掫        zou       11       
掬        ju        11       
掭        tian      11       
掮        qian      11       
掯        ken       11       
掰        bai       12       
掱        shou      12       
掲        jie       11       
掳        lu        11       
掴        guo       11       
掵        ming      11       
掶        geng      11       
掷        zhi       11       
掸        dan       11       
掹        meng      11       
掺        chan      11       
掻        sao       11       
掼        guan      11       
掽        peng      11       
掾        yuan      12       
掿        nuo       11       
揀        jian      12       
揁        zheng     12       
揂        you       12       
揃        qian      12       
揄        yu        12       
揅        yan       13       
揆        kui       12       
揇        nan       12       
揈        xuan      12       
揉        rou       12       
